id,cc
2659,ST-48
2663,ST-353
2670,ST-21
2672,ST-354
5858,ST-21
5860,ST-21
5862,ST-45
5864,ST-443
5865,ST-21
5866,ST-354
5873,ST-257
5874,ST-257
5888,ST-206
5889,ST-21
5890,ST-21
5891,ST-48
5892,ST-443
5893,ST-21
5894,ST-443
5895,ST-21
5899,ST-443
5900,ST-353
5902,ST-257
5903,ST-257
5908,ST-21
5909,ST-21
5912,ST-283
5914,ST-21
5915,ST-257
5925,ST-45
5930,ST-206
5932,ST-21
5934,ST-206
5938,ST-21
5939,ST-206
5941,ST-21
5949,ST-21
5953,ST-574
5955,ST-21
5956,ST-48
5960,ST-658
5962,ST-354
5966,ST-658
5967,ST-21
5970,ST-206
5973,ST-574
5975,ST-353
5976,ST-353
5978,ST-574
5979,ST-48
5981,ST-21
5983,ST-21
5984,ST-658
5987,ST-48
5988,ST-257
5989,ST-574
5990,ST-658
5991,ST-574
5992,ST-21
5994,ST-21
5998,ST-61
6001,ST-21
6002,ST-574
6004,ST-257
6006,
6009,ST-574
6013,ST-443
6015,ST-574
6016,ST-21
6017,ST-443
6022,ST-21
6024,ST-443
6025,ST-45
6026,ST-257
6028,ST-283
6029,ST-61
6030,ST-658
6032,ST-443
6033,ST-354
6038,ST-443
6039,ST-21
6040,ST-354
6043,ST-21
6044,ST-49
6045,ST-658
6046,ST-21
6051,ST-257
6055,ST-460
6057,ST-49
6058,
6059,ST-508
6060,ST-574
6061,ST-206
6062,ST-443
6063,ST-574
6064,ST-21
6068,ST-21
6069,ST-446
6071,ST-21
6074,ST-52
6078,ST-45
6079,ST-443
6080,ST-353
6082,ST-48
6088,ST-206
6090,ST-443
6092,
6094,ST-574
6099,ST-45
6101,ST-45
6102,
6106,ST-607
6107,ST-61
6108,ST-353
6109,ST-48
6111,ST-443
6112,ST-48
6114,
6116,ST-21
6117,ST-45
6119,ST-22
6121,ST-353
6123,ST-443
6125,ST-22
6126,ST-206
6128,ST-48
6129,ST-1034
6131,ST-21
6133,ST-21
6135,ST-21
6137,ST-353
6141,ST-21
6145,ST-658
6146,ST-257
6148,ST-353
6149,ST-353
6151,ST-48
6152,ST-257
6153,ST-574
6154,ST-443
6157,ST-443
6158,ST-21
6159,ST-48
6160,ST-443
6163,ST-48
6167,ST-257
6168,ST-21
6169,ST-49
6170,ST-21
6171,ST-22
6173,ST-21
6174,ST-21
6175,ST-48
6176,ST-257
6182,ST-21
6183,ST-443
6189,ST-21
6190,ST-206
6191,ST-21
6192,ST-21
6193,ST-206
6194,ST-353
6196,ST-362
6197,ST-206
6199,ST-22
6201,ST-21
6202,ST-658
6203,ST-257
6204,ST-574
6206,ST-658
6208,ST-257
6212,ST-45
6214,ST-21
6215,ST-45
6217,ST-443
6224,ST-48
6225,ST-21
6226,ST-257
6227,ST-61
6228,ST-354
6229,ST-61
6230,ST-21
6235,ST-48
6237,ST-21
6243,ST-206
6247,ST-45
6249,ST-257
6257,ST-257
6259,ST-45
6261,ST-21
6263,ST-45
6264,ST-257
6267,ST-21
6268,ST-206
6269,ST-21
6270,ST-48
6272,ST-22
6274,ST-443
6275,ST-21
6280,ST-45
6281,ST-21
6283,ST-21
6287,ST-45
6288,ST-257
6289,ST-257
6290,ST-443
6292,ST-257
6293,ST-61
6294,ST-21
6296,ST-21
6298,ST-443
6300,ST-443
6304,ST-257
6305,ST-354
6307,ST-354
6308,ST-446
6309,ST-353
6310,ST-21
6311,ST-353
6320,ST-48
6321,ST-206
6322,ST-21
6325,ST-206
6327,ST-443
6329,ST-354
6331,ST-661
6333,ST-42
6334,ST-257
6335,ST-206
6336,
6339,ST-61
6342,ST-206
6343,ST-22
6344,ST-21
6345,
6346,ST-45
6348,ST-21
6349,ST-45
6351,ST-21
6352,ST-21
6354,ST-283
6357,ST-354
6358,ST-21
6361,ST-658
6362,ST-353
6363,ST-658
6364,ST-353
6368,ST-21
6369,ST-21
6370,ST-206
6371,ST-353
6372,ST-61
6373,
6374,ST-658
6378,ST-257
6380,ST-257
6381,ST-61
6382,ST-45
6388,ST-692
6389,ST-48
6394,
6397,ST-257
6402,ST-443
6404,ST-42
6407,ST-48
6408,ST-257
6410,ST-45
6412,ST-257
6415,ST-21
6416,ST-52
6417,ST-42
6418,ST-443
6420,ST-21
6423,ST-21
6432,ST-21
6433,ST-48
6434,ST-257
6435,ST-45
6441,ST-45
6442,ST-48
6443,ST-45
6444,ST-21
6445,ST-354
6446,ST-354
6447,ST-257
6448,ST-45
6451,ST-446
6452,ST-21
6455,ST-607
6459,ST-21
6462,ST-21
6466,ST-658
10935,
12880,ST-658
12882,ST-48
12883,ST-21
12884,ST-48
12887,ST-21
12888,ST-206
12892,
12893,ST-21
12895,ST-607
12896,ST-508
12897,ST-21
12899,ST-21
12900,ST-21
12901,ST-353
12902,ST-354
12905,ST-61
12906,ST-21
12913,ST-658
12916,ST-61
12919,ST-257
12920,ST-257
12922,ST-353
12923,ST-353
13782,ST-661
14042,ST-661
14392,ST-48
14393,ST-353
14394,ST-353
14395,ST-354
14397,ST-21
14399,ST-257
14401,ST-21
14403,ST-52
14405,ST-257
14411,ST-48
14412,ST-257
14413,ST-574
14414,ST-21
14415,ST-21
14416,ST-48
14417,
14418,ST-21
14420,ST-574
14421,ST-21
14422,ST-21
14423,ST-206
14425,ST-21
14426,ST-21
14428,ST-362
14429,ST-206
14431,
14434,
14436,ST-42
14438,ST-21
14439,ST-21
14441,
14444,ST-443
14445,
14446,ST-443
14448,ST-354
14449,ST-443
14452,ST-21
14453,ST-21
14455,ST-45
14457,ST-257
14463,ST-48
14469,ST-48
14470,ST-354
14471,ST-257
14472,ST-353
14473,ST-464
14474,ST-443
14475,ST-61
14476,ST-21
14477,ST-48
14478,
14479,ST-21
14480,ST-354
14482,ST-21
14483,ST-353
14484,ST-21
14486,ST-443
14487,ST-658
14489,ST-257
14492,ST-21
14493,
14494,ST-354
14495,ST-283
14497,ST-354
14498,ST-48
14500,ST-354
14502,ST-21
14503,ST-22
14504,ST-354
14505,ST-257
14506,ST-353
14508,ST-257
14509,ST-21
