id,aspA,glnA,gltA,glyA,pgm,tkt,uncA
2659,2,4,1,4,19,1,5
2663,8,17,5,2,10,3,1
2670,2,1,12,3,2,1,5
2672,8,10,2,2,11,12,6
5858,2,1,1,3,2,1,5
5860,2,1,1,3,2,1,5
5862,4,7,10,4,1,7,1
5864,7,17,2,15,23,3,12
5865,2,1,1,3,6,1,5
5866,8,10,2,2,11,12,6
5873,9,2,4,62,4,5,6
5874,9,2,2,2,11,5,6
5888,62,4,5,2,2,1,5
5889,2,1,5,3,2,1,5
5890,2,1,21,3,2,1,5
5891,2,4,1,2,5,1,5
5892,8,17,2,15,150,3,12
5893,2,1,1,3,7,1,5
5894,7,17,2,15,11,3,12
5895,2,1,5,3,2,1,5
5899,7,17,2,15,11,3,12
5900,7,2,5,2,10,3,6
5902,9,2,4,62,4,5,6
5903,9,2,4,62,4,5,6
5908,2,1,5,3,2,1,5
5909,2,1,21,3,2,1,5
5912,4,7,40,4,42,51,1
5914,2,1,21,3,2,1,5
5915,9,2,4,62,4,5,6
5925,4,7,10,4,42,51,1
5930,62,4,5,2,2,1,5
5932,2,17,2,3,11,1,5
5934,62,4,5,2,2,1,5
5938,2,1,1,3,2,1,66
5939,62,4,5,2,2,1,5
5941,2,1,1,5,2,1,5
5949,2,1,12,3,2,1,5
5953,7,53,2,10,11,3,3
5955,2,1,12,3,2,1,5
5956,2,4,1,2,7,1,5
5960,2,4,2,4,19,3,6
5962,8,10,2,2,11,12,6
5966,2,4,2,4,19,3,6
5967,2,1,79,3,2,1,5
5970,2,21,5,37,2,1,5
5973,7,53,2,10,11,3,3
5975,7,2,5,2,10,3,6
5976,7,2,5,2,10,3,6
5978,7,53,2,10,11,3,3
5979,2,4,1,2,7,1,5
5981,2,111,21,3,2,1,5
5983,2,111,21,3,2,1,5
5984,2,4,2,4,19,3,6
5987,2,4,1,2,7,1,5
5988,9,2,4,62,4,5,6
5989,7,53,2,10,11,3,3
5990,2,4,2,4,19,3,6
5991,7,53,2,10,11,3,3
5992,2,1,1,3,7,1,5
5994,2,1,1,3,7,1,5
5998,1,4,2,2,6,3,17
6001,2,1,12,3,2,1,5
6002,7,53,2,10,11,3,3
6004,9,2,4,62,4,5,6
6006,18,109,82,24,138,61,16
6009,7,53,2,10,11,3,3
6013,7,17,2,15,23,3,12
6015,7,53,2,10,11,3,3
6016,2,1,12,3,2,1,5
6017,7,17,2,15,23,3,12
6022,2,1,12,3,2,1,5
6024,7,17,2,15,23,3,12
6025,4,7,2,4,1,7,1
6026,9,2,4,62,4,5,6
6028,4,7,40,4,42,51,1
6029,1,4,2,2,6,3,17
6030,2,4,2,4,19,3,6
6032,7,17,2,15,23,3,12
6033,8,10,2,2,11,12,6
6038,7,17,2,15,23,3,12
6039,2,1,1,3,7,1,5
6040,9,2,2,2,11,61,6
6043,2,17,2,3,2,1,5
6044,3,1,5,17,11,11,6
6045,2,4,2,4,19,3,6
6046,2,1,1,3,7,1,5
6051,9,2,4,62,4,5,6
6055,24,21,2,2,89,59,6
6057,3,1,5,17,11,11,6
6058,7,112,42,62,11,67,6
6059,1,6,60,24,12,28,1
6060,7,53,2,10,11,3,3
6061,62,4,5,2,2,1,5
6062,7,17,2,15,23,3,12
6063,7,53,2,10,11,3,3
6064,2,1,5,3,2,1,5
6068,8,1,6,3,2,1,1
6069,47,55,5,10,11,68,8
6071,2,1,1,3,2,1,5
6074,9,25,2,10,22,3,6
6078,4,7,10,4,42,7,1
6079,7,17,2,15,23,3,12
6080,8,17,5,2,10,59,6
6082,2,4,1,4,19,62,5
6088,2,21,5,37,2,1,5
6090,7,17,2,15,23,3,12
6092,24,2,5,72,2,5,6
6094,7,53,2,10,11,3,3
6099,4,7,10,4,1,7,1
6101,4,7,10,4,1,7,1
6102,7,112,42,62,11,67,6
6106,24,2,5,53,23,3,1
6107,1,4,2,2,6,3,17
6108,8,17,5,2,10,59,6
6109,2,4,1,2,7,1,5
6111,7,17,2,15,23,3,12
6112,2,4,1,2,7,1,5
6114,2,15,4,3,154,25,35
6116,2,1,5,3,2,1,5
6117,4,7,10,4,42,7,1
6119,1,3,6,4,3,3,69
6121,7,1,2,2,4,3,6
6123,7,17,2,15,23,3,12
6125,1,3,6,4,3,3,69
6126,2,21,5,37,2,1,5
6128,2,4,1,2,7,1,5
6129,22,61,4,64,74,25,23
6131,2,1,1,3,2,1,5
6133,2,1,5,3,2,1,5
6135,2,1,1,3,2,1,5
6137,7,2,5,2,10,3,6
6141,2,1,5,3,2,54,5
6145,2,4,2,4,19,3,6
6146,9,2,4,62,4,5,6
6148,7,2,5,2,10,3,6
6149,8,17,5,2,10,59,6
6151,2,4,1,2,7,1,5
6152,9,2,4,62,4,5,6
6153,7,53,2,15,11,3,3
6154,7,17,2,15,23,3,12
6157,7,17,2,15,23,3,12
6158,2,1,12,3,2,1,5
6159,2,4,1,2,7,1,5
6160,7,17,2,15,23,3,12
6163,2,4,1,2,7,1,5
6167,9,2,4,62,4,5,6
6168,2,21,1,3,2,1,5
6169,3,1,5,17,11,11,6
6170,2,1,21,3,2,123,5
6171,1,3,6,4,3,3,3
6173,2,1,21,3,2,1,5
6174,2,1,21,3,2,123,5
6175,2,4,1,2,7,1,5
6176,9,2,4,62,4,5,6
6182,2,1,1,3,2,1,5
6183,7,17,2,15,23,3,12
6189,2,1,12,3,2,1,5
6190,2,4,5,2,2,1,5
6191,2,1,1,3,2,1,5
6192,2,1,12,3,2,1,5
6193,62,4,5,2,2,1,5
6194,8,17,5,2,10,59,6
6196,1,2,42,85,11,9,8
6197,2,21,5,37,2,1,5
6199,1,3,6,4,3,3,3
6201,2,1,1,3,2,1,5
6202,2,4,2,4,19,3,6
6203,9,2,4,62,4,5,6
6204,7,53,2,10,11,3,3
6206,1,4,2,4,185,3,6
6208,9,2,4,62,4,5,6
6212,4,7,10,4,1,7,1
6214,2,1,12,3,2,1,5
6215,4,7,10,4,1,7,1
6217,7,17,2,15,23,3,12
6224,2,4,1,2,7,1,5
6225,2,1,1,3,2,1,3
6226,9,2,4,62,4,5,6
6227,1,4,2,2,6,3,17
6228,8,10,2,2,11,12,6
6229,1,4,2,2,6,3,17
6230,2,1,21,3,2,1,5
6235,2,4,1,4,19,62,5
6237,2,1,12,3,2,1,5
6243,2,21,5,37,2,1,5
6247,4,7,10,4,42,51,1
6249,9,2,4,62,4,5,6
6257,9,2,4,62,4,5,6
6259,4,7,10,4,42,51,1
6261,2,1,1,3,2,1,5
6263,4,7,10,4,42,7,1
6264,9,2,4,62,4,5,6
6267,2,17,2,3,2,1,5
6268,2,21,5,37,2,1,5
6269,2,1,12,3,2,1,5
6270,2,4,5,2,7,1,5
6272,1,3,6,4,3,3,3
6274,24,17,2,15,23,3,12
6275,2,17,2,3,2,1,5
6280,4,7,10,4,42,7,1
6281,2,1,12,3,2,1,5
6283,2,1,1,3,140,3,5
6287,4,7,10,4,42,7,1
6288,9,2,4,62,4,5,6
6289,9,2,4,62,4,5,6
6290,7,17,2,15,23,3,12
6292,9,2,4,62,4,5,6
6293,1,4,2,2,6,3,17
6294,2,1,1,3,2,1,5
6296,2,1,1,3,2,1,5
6298,7,17,2,15,23,3,12
6300,7,17,2,15,23,3,12
6304,9,2,4,62,4,5,6
6305,8,10,2,2,11,12,6
6307,8,10,2,2,11,12,6
6308,47,55,5,10,11,48,8
6309,14,17,5,2,11,3,6
6310,2,1,12,3,2,1,5
6311,14,17,5,2,11,3,6
6320,2,4,1,2,7,1,5
6321,62,4,5,2,2,1,5
6322,2,1,1,3,2,1,5
6325,2,21,5,37,2,1,5
6327,7,17,2,15,23,3,12
6329,8,10,2,2,11,12,6
6331,2,75,4,48,141,34,1
6333,1,2,3,4,5,9,3
6334,9,2,4,62,4,5,6
6335,2,4,5,2,2,1,5
6336,2,1,5,2,11,90,26
6339,7,4,2,2,11,3,5
6342,2,21,5,37,2,1,5
6343,1,3,6,4,3,3,3
6344,2,1,1,3,2,1,5
6345,7,21,5,62,4,61,44
6346,4,7,10,4,1,7,1
6348,2,1,1,3,2,1,5
6349,4,7,10,4,1,7,1
6351,2,1,5,3,2,1,5
6352,2,1,42,3,148,1,5
6354,4,7,40,4,42,51,1
6357,8,10,2,2,11,12,6
6358,2,1,1,3,7,1,5
6361,2,10,2,4,19,3,6
6362,7,2,5,2,10,3,6
6363,2,4,2,4,19,3,6
6364,7,2,5,2,10,3,6
6368,2,1,1,3,2,1,5
6369,2,1,1,3,2,1,5
6370,2,4,5,2,2,1,5
6371,7,2,5,2,10,3,6
6372,1,4,2,2,6,3,17
6373,1,2,42,4,98,165,34
6374,14,45,2,4,19,3,6
6378,9,2,4,62,4,5,6
6380,9,2,2,185,11,5,6
6381,1,4,2,2,6,3,17
6382,4,7,10,4,1,7,1
6388,2,115,57,26,127,29,35
6389,2,4,1,2,7,51,5
6394,6,4,5,2,2,157,5
6397,9,2,4,62,4,5,6
6402,7,17,2,15,23,3,12
6404,1,2,3,4,5,9,3
6407,2,4,1,2,7,1,5
6408,9,2,4,62,4,5,6
6410,4,7,10,4,42,51,1
6412,9,2,4,62,4,5,6
6415,2,1,12,3,2,1,5
6416,9,25,2,10,23,3,6
6417,1,2,3,4,5,9,3
6418,7,17,2,15,23,3,12
6420,2,1,5,3,2,1,5
6423,2,1,1,5,2,1,5
6432,2,1,1,3,7,1,5
6433,2,4,1,4,19,62,5
6434,9,2,4,62,4,5,6
6435,4,7,10,4,1,7,1
6441,4,7,10,4,1,7,1
6442,2,4,1,2,7,1,5
6443,2,7,10,4,1,7,1
6444,2,1,5,3,2,1,5
6445,8,10,2,2,11,12,6
6446,8,10,2,2,11,12,6
6447,9,2,4,62,4,5,6
6448,4,7,10,4,1,7,1
6451,47,55,5,10,11,48,8
6452,2,1,21,3,2,1,5
6455,8,2,5,53,11,3,1
6459,2,1,6,3,2,1,5
6462,2,1,1,3,7,1,5
6466,2,4,5,93,11,3,6
